"ID","step","angle","TimeNum","locType","time","temp","nu.x","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed","x","y"
"AM306",542.369304044301,-0.0196633820826873,NA,"p",2008-09-18 15:01:00,32.9677072632598,401.490236816497,11.7041604883095,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,401.660799222058,351160.703615772,-2693312.23154945
"AM306",202.269126621685,-0.72666531511453,NA,"p",2008-09-18 16:01:00,30.9664005932768,164.650057431591,-9.13666188919464,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,164.903365650018,351697.19020244,-2693232.56597159
"AM306",188.157965340519,0.430182674577278,NA,"p",2008-09-18 17:01:00,28.9612919671138,337.921578582436,-35.8399689434062,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,339.816857506378,351866.464129774,-2693343.28695925
"AM306",175.24549868923,-0.672014905169517,NA,"p",2008-09-18 18:01:00,27.9876311140273,167.763931106213,-108.105808504039,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,199.578562006349,352052.535495884,-2693371.23095029
"AM306",9.58315466917941,2.34875473397211,NA,"p",2008-09-18 19:01:00,25.9909299881124,2.42025738718435,-32.8913228874972,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,32.980248135965,352171.953267011,-2693499.48998798
"AM306",31.9293772820298,-2.35336452980254,NA,"p",2008-09-18 20:01:00,24.978227851601,35.234971370571,-62.0993511120178,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,71.39910794974,352172.36637794,-2693489.91574165
"AM306",924.540979213548,-0.623941787014479,NA,"p",2008-09-18 21:01:00,24.977024646275,558.73319354596,-576.007048185105,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,802.475483194961,352194.016100594,-2693513.38433008
"AM306",222.110976653979,-1.31061696910242,NA,"p",2008-09-18 22:01:00,24.0102609450054,-450.151265806807,-317.327314638464,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,550.756558493069,352305.764158953,-2694431.14704108
"AM306",308.614775614037,1.06901474749285,NA,"p",2008-09-18 23:01:00,22.9810802489473,-159.294550934649,-388.086359923689,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,419.506587214421,352099.608487016,-2694513.80975866
"AM306",199.467355437377,-0.147215260238255,NA,"p",2008-09-19 00:01:00,23.0041913089543,35.1625670427671,-132.230763049561,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,136.826096990692,352062.52955446,-2694820.18898852
"AM306",21.4862621305551,-2.50025097525844,NA,"p",2008-09-19 01:01:00,21.9789449789542,-83.9457288228544,-70.1302144889914,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,109.385247505649,352009.776764272,-2695012.55418551
"AM306",12.9402318653249,-1.25117185408712,NA,"p",2008-09-19 02:01:00,21.975444702913,1.51625310099306,0.166074578584009,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,1.52532102585748,352001.933151657,-2694992.55075576
"AM306",48.8369398292239,-1.65873481537491,NA,"p",2008-09-19 03:01:00,20.9837733607661,-6.21195778926965,25.2734395833976,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,26.0256636409394,352011.885905153,-2694984.28079213
"AM306",667.855756247064,1.56245615949305,NA,"p",2008-09-19 04:01:00,20.0222199160939,117.710863857631,-3.20998409510008,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,117.754623977152,352039.677570649,-2695024.43885509
"AM306",1731.59114867909,-0.532396042921948,NA,"p",2008-09-19 05:01:00,22.0229251188869,918.017806831513,440.287410645902,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,1018.1403133326,352591.9984044,-2694648.97513147
"AM306",538.368020499435,0.0753201545864467,NA,"p",2008-09-19 06:01:00,26.0914356597154,1626.49186948373,-22.8008968691265,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,1626.65167826266,354319.973354765,-2694537.12488741
"AM306",834.985632818606,-0.365575706847173,NA,"p",2008-09-19 07:01:00,30.0904801627211,1241.27577849801,21.0793470493103,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,1241.45475034649,354853.077055093,-2694462.02115785
"AM306",959.941098504391,1.67679447704763,NA,"p",2008-09-19 08:01:00,35.0670614828538,-244.140273089699,-126.033360393728,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,274.75239921873,355666.901100718,-2694648.81363569
"AM306",340.548772600939,0.222348160356078,NA,"p",2008-09-19 09:01:00,38.041791686604,120.542335389428,1270.05270544495,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,1275.76029458091,355781.454165177,-2693695.7320505
"AM306",184.477140252332,-0.228078347225297,NA,"p",2008-09-19 10:01:00,38.0217132599376,22.1552274206296,122.051518050208,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,124.046068701995,355746.531203119,-2693356.97866935
"AM306",285.174206117097,-0.423741318021007,NA,"p",2008-09-19 11:01:00,40.0098863063467,186.157717340143,119.439107704407,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,221.179556411792,355769.594660751,-2693173.94891167
"AM306",86.586989023279,0.0906051776712857,NA,"p",2008-09-19 12:01:00,40.9781330389911,4.33678457512744,123.450087725542,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,123.526239560245,355918.430275613,-2692930.69536579
"AM306",166.048511190042,-0.301957822748563,NA,"p",2008-09-19 13:01:00,38.9891991048105,162.857861443145,183.967731985166,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,245.696580044576,355956.752803565,-2692853.05072322
"AM306",118.83330378193,0.585679536582892,NA,"p",2008-09-19 14:01:00,37.9594967901227,-25.2592187260725,158.493511049768,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,160.493679550113,356071.20044769,-2692732.74342991
"AM306",201.380455978698,-0.986873522563338,NA,"p",2008-09-19 15:01:00,35.928063483339,261.27974709064,58.131750930082,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,267.668464160323,356091.86257089,-2692615.72022387
"AM306",110.265515634285,-0.653890479814628,NA,"p",2008-09-19 16:01:00,30.9622513493004,67.6604051549712,28.1622449746653,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,73.2873963771937,356276.620167639,-2692535.6033187
"AM306",80.7599664745969,1.93114914727309,NA,"p",2008-09-19 17:01:00,27.9461603226282,8.17614448587571,95.5824108683677,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,95.9314682784714,356383.600056656,-2692562.32011649
"AM306",120.574868231389,-1.63006207956052,NA,"p",2008-09-19 18:01:00,25.9596900255637,115.018724187051,-6.58940568550556,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,115.207322601062,356374.283215386,-2692482.09936697
"AM306",147.966652785556,1.89088871547159,NA,"p",2008-09-19 19:01:00,24.981777157666,29.0118450532592,132.158967906688,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,135.305875524884,356494.666659502,-2692475.30781105
"AM306",86.5251147279732,-0.288507303689119,NA,"p",2008-09-19 20:01:00,24.0054236294278,22.9498438709195,112.354351672742,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,114.674302585634,356440.271136245,-2692337.70237008
"AM306",131.822447300983,0.530084792302911,NA,"p",2008-09-19 21:01:00,24.0057796266713,-77.7906413260957,-33.9063970455657,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,84.8588689444822,356432.671802645,-2692251.51161879
"AM306",264.976523711329,0.260598897816668,NA,"p",2008-09-19 22:01:00,22.9804739051548,-156.85733467319,140.812145354601,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,210.789667014639,356356.290242326,-2692144.07319524
"AM306",207.64400520633,0.344432424876597,NA,"p",2008-09-19 23:01:00,22.9987958171344,-301.255764616009,177.254349519111,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,349.534175922497,356152.294856809,-2691974.9624599
"AM306",21.2784175421125,0.752973750547412,NA,"p",2008-09-20 00:01:00,22.9999110089811,-31.9591194401138,30.198633806544,4.12310562561766,251.219027941754,4.12310562561766,251.219027941754,43.9697941679195,355957.079246747,-2691904.20301893
"AM306",14.3775256285265,-2.9121941401012,NA,"p",2008-09-20 01:01:00,22.9997545969866,8.26669118149583,7.20387128776026,4.12310562561766,254.102341587007,4.12310562561766,254.102341587007,10.9651240130168,355937.524172258,-2691912.59170863
"AM306",14.2843737452538,0.05893965411052,NA,"p",2008-09-20 02:01:00,23.0478259084139,-6.96908483230646,-11.6860244551734,88.034084308295,255.311574355727,88.034084308295,255.311574355727,13.6062967396274,355949.102236715,-2691904.06752734
